stressTest_6.dasm (line 1):     [0x0000] 5E35 1000 1000  IFA [0x1000+B], [0x1000+J]
stressTest_6.dasm (line 716):   [0x06F1] 6175            IFA [X], POP
stressTest_6.dasm (line 717):   [0x06F2] 6195            IFA [Y], POP
stressTest_6.dasm (line 718):   [0x06F3] 61B5            IFA [Z], POP
stressTest_6.dasm (line 719):   [0x06F4] 61D5            IFA [I], POP
stressTest_6.dasm (line 720):   [0x06F5] 61F5            IFA [J], POP
stressTest_6.dasm (line 721):   [0x06F6] 6215 1000       IFA [0x1000+A], POP
stressTest_6.dasm (line 722):   [0x06F8] 6215 0010       IFA [0x10+A], POP
stressTest_6.dasm (line 723):   [0x06FA] 6235 1000       IFA [0x1000+B], POP
stressTest_6.dasm (line 724):   [0x06FC] 6235 0010       IFA [0x10+B], POP
stressTest_6.dasm (line 725):   [0x06FE] 6255 1000       IFA [0x1000+C], POP
stressTest_6.dasm (line 726):   [0x0700] 6255 0010       IFA [0x10+C], POP
stressTest_6.dasm (line 727):   [0x0702] 6275 1000       IFA [0x1000+X], POP
stressTest_6.dasm (line 728):   [0x0704] 6275 0010       IFA [0x10+X], POP
stressTest_6.dasm (line 729):   [0x0706] 6295 1000       IFA [0x1000+Y], POP
stressTest_6.dasm (line 730):   [0x0708] 6295 0010       IFA [0x10+Y], POP
stressTest_6.dasm (line 731):   [0x070A] 62B5 1000       IFA [0x1000+Z], POP
stressTest_6.dasm (line 732):   [0x070C] 62B5 0010       IFA [0x10+Z], POP
stressTest_6.dasm (line 733):   [0x070E] 62D5 1000       IFA [0x1000+I], POP
stressTest_6.dasm (line 734):   [0x0710] 62D5 0010       IFA [0x10+I], POP
stressTest_6.dasm (line 735):   [0x0712] 62F5 1000       IFA [0x1000+J], POP
stressTest_6.dasm (line 736):   [0x0714] 62F5 0010       IFA [0x10+J], POP
stressTest_6.dasm (line 737):   [0x0716] 6215 1000       IFA [A+0x1000], POP
stressTest_6.dasm (line 738):   [0x0718] 6215 0010       IFA [A+0x10], POP
stressTest_6.dasm (line 739):   [0x071A] 6235 1000       IFA [B+0x1000], POP
stressTest_6.dasm (line 740):   [0x071C] 6235 0010       IFA [B+0x10], POP
stressTest_6.dasm (line 741):   [0x071E] 6255 1000       IFA [C+0x1000], POP
stressTest_6.dasm (line 742):   [0x0720] 6255 0010       IFA [C+0x10], POP
stressTest_6.dasm (line 743):   [0x0722] 6275 1000       IFA [X+0x1000], POP
stressTest_6.dasm (line 744):   [0x0724] 6275 0010       IFA [X+0x10], POP
stressTest_6.dasm (line 745):   [0x0726] 6295 1000       IFA [Y+0x1000], POP
stressTest_6.dasm (line 746):   [0x0728] 6295 0010       IFA [Y+0x10], POP
stressTest_6.dasm (line 747):   [0x072A] 62B5 1000       IFA [Z+0x1000], POP
stressTest_6.dasm (line 748):   [0x072C] 62B5 0010       IFA [Z+0x10], POP
stressTest_6.dasm (line 749):   [0x072E] 62D5 1000       IFA [I+0x1000], POP
stressTest_6.dasm (line 750):   [0x0730] 62D5 0010       IFA [I+0x10], POP
stressTest_6.dasm (line 751):   [0x0732] 62F5 1000       IFA [J+0x1000], POP
stressTest_6.dasm (line 752):   [0x0734] 62F5 0010       IFA [J+0x10], POP
stressTest_6.dasm (line 753):   [0x0736] WARNING: Redundant statement.
stressTest_6.dasm (line 753):   [0x0736] 6315            IFA PUSH, POP
stressTest_6.dasm (line 754):   [0x0737] 6335            IFA [SP], POP
stressTest_6.dasm (line 755):   [0x0738] 6355 1000       IFA [SP+0x1000], POP
stressTest_6.dasm (line 756):   [0x073A] 6355 0010       IFA [SP+0x10], POP
stressTest_6.dasm (line 757):   [0x073C] 6355 1000       IFA PICK 0x1000, POP
stressTest_6.dasm (line 758):   [0x073E] 6355 0010       IFA PICK 0x10, POP
stressTest_6.dasm (line 759):   [0x0740] 6375            IFA SP, POP
stressTest_6.dasm (line 760):   [0x0741] 6395            IFA PC, POP
stressTest_6.dasm (line 761):   [0x0742] 63B5            IFA EX, POP
stressTest_6.dasm (line 762):   [0x0743] 63D5 1000       IFA [0x1000], POP
stressTest_6.dasm (line 763):   [0x0745] 63D5 0010       IFA [0x10], POP
stressTest_6.dasm (line 764):   [0x0747] 63F5 1000       IFA 0x1000, POP
stressTest_6.dasm (line 765):   [0x0749] 63F5 0010       IFA 0x10, POP
stressTest_6.dasm (line 766):   [0x074B] 6415            IFA A, [SP]
stressTest_6.dasm (line 767):   [0x074C] 6435            IFA B, [SP]
stressTest_6.dasm (line 768):   [0x074D] 6455            IFA C, [SP]
stressTest_6.dasm (line 769):   [0x074E] 6475            IFA X, [SP]
stressTest_6.dasm (line 770):   [0x074F] 6495            IFA Y, [SP]
stressTest_6.dasm (line 771):   [0x0750] 64B5            IFA Z, [SP]
stressTest_6.dasm (line 772):   [0x0751] 64D5            IFA I, [SP]
stressTest_6.dasm (line 773):   [0x0752] 64F5            IFA J, [SP]
stressTest_6.dasm (line 774):   [0x0753] 6515            IFA [A], [SP]
stressTest_6.dasm (line 775):   [0x0754] 6535            IFA [B], [SP]
stressTest_6.dasm (line 776):   [0x0755] 6555            IFA [C], [SP]
stressTest_6.dasm (line 777):   [0x0756] 6575            IFA [X], [SP]
stressTest_6.dasm (line 778):   [0x0757] 6595            IFA [Y], [SP]
stressTest_6.dasm (line 779):   [0x0758] 65B5            IFA [Z], [SP]
stressTest_6.dasm (line 780):   [0x0759] 65D5            IFA [I], [SP]
stressTest_6.dasm (line 781):   [0x075A] 65F5            IFA [J], [SP]
stressTest_6.dasm (line 782):   [0x075B] 6615 1000       IFA [0x1000+A], [SP]
stressTest_6.dasm (line 783):   [0x075D] 6615 0010       IFA [0x10+A], [SP]
stressTest_6.dasm (line 784):   [0x075F] 6635 1000       IFA [0x1000+B], [SP]
stressTest_6.dasm (line 785):   [0x0761] 6635 0010       IFA [0x10+B], [SP]
stressTest_6.dasm (line 786):   [0x0763] 6655 1000       IFA [0x1000+C], [SP]
stressTest_6.dasm (line 787):   [0x0765] 6655 0010       IFA [0x10+C], [SP]
stressTest_6.dasm (line 788):   [0x0767] 6675 1000       IFA [0x1000+X], [SP]
stressTest_6.dasm (line 789):   [0x0769] 6675 0010       IFA [0x10+X], [SP]
stressTest_6.dasm (line 790):   [0x076B] 6695 1000       IFA [0x1000+Y], [SP]
stressTest_6.dasm (line 791):   [0x076D] 6695 0010       IFA [0x10+Y], [SP]
stressTest_6.dasm (line 792):   [0x076F] 66B5 1000       IFA [0x1000+Z], [SP]
stressTest_6.dasm (line 793):   [0x0771] 66B5 0010       IFA [0x10+Z], [SP]
stressTest_6.dasm (line 794):   [0x0773] 66D5 1000       IFA [0x1000+I], [SP]
stressTest_6.dasm (line 795):   [0x0775] 66D5 0010       IFA [0x10+I], [SP]
stressTest_6.dasm (line 796):   [0x0777] 66F5 1000       IFA [0x1000+J], [SP]
stressTest_6.dasm (line 797):   [0x0779] 66F5 0010       IFA [0x10+J], [SP]
stressTest_6.dasm (line 798):   [0x077B] 6615 1000       IFA [A+0x1000], [SP]
stressTest_6.dasm (line 799):   [0x077D] 6615 0010       IFA [A+0x10], [SP]
stressTest_6.dasm (line 800):   [0x077F] 6635 1000       IFA [B+0x1000], [SP]
stressTest_6.dasm (line 801):   [0x0781] 6635 0010       IFA [B+0x10], [SP]
stressTest_6.dasm (line 802):   [0x0783] 6655 1000       IFA [C+0x1000], [SP]
stressTest_6.dasm (line 803):   [0x0785] 6655 0010       IFA [C+0x10], [SP]
stressTest_6.dasm (line 804):   [0x0787] 6675 1000       IFA [X+0x1000], [SP]
stressTest_6.dasm (line 805):   [0x0789] 6675 0010       IFA [X+0x10], [SP]
stressTest_6.dasm (line 806):   [0x078B] 6695 1000       IFA [Y+0x1000], [SP]
stressTest_6.dasm (line 807):   [0x078D] 6695 0010       IFA [Y+0x10], [SP]
stressTest_6.dasm (line 808):   [0x078F] 66B5 1000       IFA [Z+0x1000], [SP]
stressTest_6.dasm (line 809):   [0x0791] 66B5 0010       IFA [Z+0x10], [SP]
stressTest_6.dasm (line 810):   [0x0793] 66D5 1000       IFA [I+0x1000], [SP]
stressTest_6.dasm (line 811):   [0x0795] 66D5 0010       IFA [I+0x10], [SP]
stressTest_6.dasm (line 812):   [0x0797] 66F5 1000       IFA [J+0x1000], [SP]
stressTest_6.dasm (line 813):   [0x0799] 66F5 0010       IFA [J+0x10], [SP]
stressTest_6.dasm (line 814):   [0x079B] 6715            IFA PUSH, [SP]
stressTest_6.dasm (line 815):   [0x079C] WARNING: Redundant statement.
stressTest_6.dasm (line 815):   [0x079C] 6735            IFA [SP], [SP]
stressTest_6.dasm (line 816):   [0x079D] 6755 1000       IFA [SP+0x1000], [SP]
stressTest_6.dasm (line 817):   [0x079F] 6755 0010       IFA [SP+0x10], [SP]
stressTest_6.dasm (line 818):   [0x07A1] 6755 1000       IFA PICK 0x1000, [SP]
stressTest_6.dasm (line 819):   [0x07A3] 6755 0010       IFA PICK 0x10, [SP]
stressTest_6.dasm (line 820):   [0x07A5] 6775            IFA SP, [SP]
stressTest_6.dasm (line 821):   [0x07A6] 6795            IFA PC, [SP]
stressTest_6.dasm (line 822):   [0x07A7] 67B5            IFA EX, [SP]
stressTest_6.dasm (line 823):   [0x07A8] 67D5 1000       IFA [0x1000], [SP]
stressTest_6.dasm (line 824):   [0x07AA] 67D5 0010       IFA [0x10], [SP]
stressTest_6.dasm (line 825):   [0x07AC] 67F5 1000       IFA 0x1000, [SP]
stressTest_6.dasm (line 826):   [0x07AE] 67F5 0010       IFA 0x10, [SP]
stressTest_6.dasm (line 827):   [0x07B0] 6815 1000       IFA A, [SP+0x1000]
stressTest_6.dasm (line 828):   [0x07B2] 6815 0010       IFA A, [SP+0x10]
stressTest_6.dasm (line 829):   [0x07B4] 6835 1000       IFA B, [SP+0x1000]
stressTest_6.dasm (line 830):   [0x07B6] 6835 0010       IFA B, [SP+0x10]
stressTest_6.dasm (line 831):   [0x07B8] 6855 1000       IFA C, [SP+0x1000]
stressTest_6.dasm (line 832):   [0x07BA] 6855 0010       IFA C, [SP+0x10]
stressTest_6.dasm (line 833):   [0x07BC] 6875 1000       IFA X, [SP+0x1000]
stressTest_6.dasm (line 834):   [0x07BE] 6875 0010       IFA X, [SP+0x10]
stressTest_6.dasm (line 835):   [0x07C0] 6895 1000       IFA Y, [SP+0x1000]
stressTest_6.dasm (line 836):   [0x07C2] 6895 0010       IFA Y, [SP+0x10]
stressTest_6.dasm (line 837):   [0x07C4] 68B5 1000       IFA Z, [SP+0x1000]
stressTest_6.dasm (line 838):   [0x07C6] 68B5 0010       IFA Z, [SP+0x10]
stressTest_6.dasm (line 839):   [0x07C8] 68D5 1000       IFA I, [SP+0x1000]
stressTest_6.dasm (line 840):   [0x07CA] 68D5 0010       IFA I, [SP+0x10]
stressTest_6.dasm (line 841):   [0x07CC] 68F5 1000       IFA J, [SP+0x1000]
stressTest_6.dasm (line 842):   [0x07CE] 68F5 0010       IFA J, [SP+0x10]
stressTest_6.dasm (line 843):   [0x07D0] 6915 1000       IFA [A], [SP+0x1000]
stressTest_6.dasm (line 844):   [0x07D2] 6915 0010       IFA [A], [SP+0x10]
stressTest_6.dasm (line 845):   [0x07D4] 6935 1000       IFA [B], [SP+0x1000]
stressTest_6.dasm (line 846):   [0x07D6] 6935 0010       IFA [B], [SP+0x10]
stressTest_6.dasm (line 847):   [0x07D8] 6955 1000       IFA [C], [SP+0x1000]
stressTest_6.dasm (line 848):   [0x07DA] 6955 0010       IFA [C], [SP+0x10]
stressTest_6.dasm (line 849):   [0x07DC] 6975 1000       IFA [X], [SP+0x1000]
stressTest_6.dasm (line 850):   [0x07DE] 6975 0010       IFA [X], [SP+0x10]
stressTest_6.dasm (line 851):   [0x07E0] 6995 1000       IFA [Y], [SP+0x1000]
stressTest_6.dasm (line 852):   [0x07E2] 6995 0010       IFA [Y], [SP+0x10]
stressTest_6.dasm (line 853):   [0x07E4] 69B5 1000       IFA [Z], [SP+0x1000]
stressTest_6.dasm (line 854):   [0x07E6] 69B5 0010       IFA [Z], [SP+0x10]
stressTest_6.dasm (line 855):   [0x07E8] 69D5 1000       IFA [I], [SP+0x1000]
stressTest_6.dasm (line 856):   [0x07EA] 69D5 0010       IFA [I], [SP+0x10]
stressTest_6.dasm (line 857):   [0x07EC] 69F5 1000       IFA [J], [SP+0x1000]
stressTest_6.dasm (line 858):   [0x07EE] 69F5 0010       IFA [J], [SP+0x10]
stressTest_6.dasm (line 859):   [0x07F0] 6A15 1000 1000  IFA [0x1000+A], [SP+0x1000]
stressTest_6.dasm (line 860):   [0x07F3] 6A15 0010 0010  IFA [0x10+A], [SP+0x10]
stressTest_6.dasm (line 861):   [0x07F6] 6A35 1000 1000  IFA [0x1000+B], [SP+0x1000]
stressTest_6.dasm (line 862):   [0x07F9] 6A35 0010 0010  IFA [0x10+B], [SP+0x10]
stressTest_6.dasm (line 863):   [0x07FC] 6A55 1000 1000  IFA [0x1000+C], [SP+0x1000]
stressTest_6.dasm (line 864):   [0x07FF] 6A55 0010 0010  IFA [0x10+C], [SP+0x10]
stressTest_6.dasm (line 865):   [0x0802] 6A75 1000 1000  IFA [0x1000+X], [SP+0x1000]
stressTest_6.dasm (line 866):   [0x0805] 6A75 0010 0010  IFA [0x10+X], [SP+0x10]
stressTest_6.dasm (line 867):   [0x0808] 6A95 1000 1000  IFA [0x1000+Y], [SP+0x1000]
stressTest_6.dasm (line 868):   [0x080B] 6A95 0010 0010  IFA [0x10+Y], [SP+0x10]
stressTest_6.dasm (line 869):   [0x080E] 6AB5 1000 1000  IFA [0x1000+Z], [SP+0x1000]
stressTest_6.dasm (line 870):   [0x0811] 6AB5 0010 0010  IFA [0x10+Z], [SP+0x10]
stressTest_6.dasm (line 871):   [0x0814] 6AD5 1000 1000  IFA [0x1000+I], [SP+0x1000]
stressTest_6.dasm (line 872):   [0x0817] 6AD5 0010 0010  IFA [0x10+I], [SP+0x10]
stressTest_6.dasm (line 873):   [0x081A] 6AF5 1000 1000  IFA [0x1000+J], [SP+0x1000]
stressTest_6.dasm (line 874):   [0x081D] 6AF5 0010 0010  IFA [0x10+J], [SP+0x10]
stressTest_6.dasm (line 875):   [0x0820] 6A15 1000 1000  IFA [A+0x1000], [SP+0x1000]
stressTest_6.dasm (line 876):   [0x0823] 6A15 0010 0010  IFA [A+0x10], [SP+0x10]
stressTest_6.dasm (line 877):   [0x0826] 6A35 1000 1000  IFA [B+0x1000], [SP+0x1000]
stressTest_6.dasm (line 878):   [0x0829] 6A35 0010 0010  IFA [B+0x10], [SP+0x10]
stressTest_6.dasm (line 879):   [0x082C] 6A55 1000 1000  IFA [C+0x1000], [SP+0x1000]
stressTest_6.dasm (line 880):   [0x082F] 6A55 0010 0010  IFA [C+0x10], [SP+0x10]
stressTest_6.dasm (line 881):   [0x0832] 6A75 1000 1000  IFA [X+0x1000], [SP+0x1000]
stressTest_6.dasm (line 882):   [0x0835] 6A75 0010 0010  IFA [X+0x10], [SP+0x10]
stressTest_6.dasm (line 883):   [0x0838] 6A95 1000 1000  IFA [Y+0x1000], [SP+0x1000]
stressTest_6.dasm (line 884):   [0x083B] 6A95 0010 0010  IFA [Y+0x10], [SP+0x10]
stressTest_6.dasm (line 885):   [0x083E] 6AB5 1000 1000  IFA [Z+0x1000], [SP+0x1000]
stressTest_6.dasm (line 886):   [0x0841] 6AB5 0010 0010  IFA [Z+0x10], [SP+0x10]
stressTest_6.dasm (line 887):   [0x0844] 6AD5 1000 1000  IFA [I+0x1000], [SP+0x1000]
stressTest_6.dasm (line 888):   [0x0847] 6AD5 0010 0010  IFA [I+0x10], [SP+0x10]
stressTest_6.dasm (line 889):   [0x084A] 6AF5 1000 1000  IFA [J+0x1000], [SP+0x1000]
stressTest_6.dasm (line 890):   [0x084D] 6AF5 0010 0010  IFA [J+0x10], [SP+0x10]
stressTest_6.dasm (line 891):   [0x0850] 6B15 1000       IFA PUSH, [SP+0x1000]
stressTest_6.dasm (line 892):   [0x0852] 6B15 0010       IFA PUSH, [SP+0x10]
stressTest_6.dasm (line 893):   [0x0854] 6B35 1000       IFA [SP], [SP+0x1000]
stressTest_6.dasm (line 894):   [0x0856] 6B35 0010       IFA [SP], [SP+0x10]
stressTest_6.dasm (line 895):   [0x0858] WARNING: Redundant statement.
stressTest_6.dasm (line 895):   [0x0858] 6B55 1000 1000  IFA [SP+0x1000], [SP+0x1000]
stressTest_6.dasm (line 896):   [0x085B] WARNING: Redundant statement.
stressTest_6.dasm (line 896):   [0x085B] 6B55 0010 0010  IFA [SP+0x10], [SP+0x10]
stressTest_6.dasm (line 897):   [0x085E] WARNING: Redundant statement.
stressTest_6.dasm (line 897):   [0x085E] 6B55 1000 1000  IFA PICK 0x1000, [SP+0x1000]
stressTest_6.dasm (line 898):   [0x0861] WARNING: Redundant statement.
stressTest_6.dasm (line 898):   [0x0861] 6B55 0010 0010  IFA PICK 0x10, [SP+0x10]
stressTest_6.dasm (line 899):   [0x0864] 6B75 1000       IFA SP, [SP+0x1000]
stressTest_6.dasm (line 900):   [0x0866] 6B75 0010       IFA SP, [SP+0x10]
stressTest_6.dasm (line 901):   [0x0868] 6B95 1000       IFA PC, [SP+0x1000]
stressTest_6.dasm (line 902):   [0x086A] 6B95 0010       IFA PC, [SP+0x10]
stressTest_6.dasm (line 903):   [0x086C] 6BB5 1000       IFA EX, [SP+0x1000]
stressTest_6.dasm (line 904):   [0x086E] 6BB5 0010       IFA EX, [SP+0x10]
stressTest_6.dasm (line 905):   [0x0870] 6BD5 1000 1000  IFA [0x1000], [SP+0x1000]
stressTest_6.dasm (line 906):   [0x0873] 6BD5 0010 0010  IFA [0x10], [SP+0x10]
stressTest_6.dasm (line 907):   [0x0876] 6BF5 1000 1000  IFA 0x1000, [SP+0x1000]
stressTest_6.dasm (line 908):   [0x0879] 6BF5 0010 0010  IFA 0x10, [SP+0x10]
stressTest_6.dasm (line 909):   [0x087C] 6815 1000       IFA A, PICK 0x1000
stressTest_6.dasm (line 910):   [0x087E] 6815 0010       IFA A, PICK 0x10
stressTest_6.dasm (line 911):   [0x0880] 6835 1000       IFA B, PICK 0x1000
stressTest_6.dasm (line 912):   [0x0882] 6835 0010       IFA B, PICK 0x10
stressTest_6.dasm (line 913):   [0x0884] 6855 1000       IFA C, PICK 0x1000
stressTest_6.dasm (line 914):   [0x0886] 6855 0010       IFA C, PICK 0x10
stressTest_6.dasm (line 915):   [0x0888] 6875 1000       IFA X, PICK 0x1000
stressTest_6.dasm (line 916):   [0x088A] 6875 0010       IFA X, PICK 0x10
stressTest_6.dasm (line 917):   [0x088C] 6895 1000       IFA Y, PICK 0x1000
stressTest_6.dasm (line 918):   [0x088E] 6895 0010       IFA Y, PICK 0x10
stressTest_6.dasm (line 919):   [0x0890] 68B5 1000       IFA Z, PICK 0x1000
stressTest_6.dasm (line 920):   [0x0892] 68B5 0010       IFA Z, PICK 0x10
stressTest_6.dasm (line 921):   [0x0894] 68D5 1000       IFA I, PICK 0x1000
stressTest_6.dasm (line 922):   [0x0896] 68D5 0010       IFA I, PICK 0x10
stressTest_6.dasm (line 923):   [0x0898] 68F5 1000       IFA J, PICK 0x1000
stressTest_6.dasm (line 924):   [0x089A] 68F5 0010       IFA J, PICK 0x10
stressTest_6.dasm (line 925):   [0x089C] 6915 1000       IFA [A], PICK 0x1000
stressTest_6.dasm (line 926):   [0x089E] 6915 0010       IFA [A], PICK 0x10
stressTest_6.dasm (line 927):   [0x08A0] 6935 1000       IFA [B], PICK 0x1000
stressTest_6.dasm (line 928):   [0x08A2] 6935 0010       IFA [B], PICK 0x10
stressTest_6.dasm (line 929):   [0x08A4] 6955 1000       IFA [C], PICK 0x1000
stressTest_6.dasm (line 930):   [0x08A6] 6955 0010       IFA [C], PICK 0x10
stressTest_6.dasm (line 931):   [0x08A8] 6975 1000       IFA [X], PICK 0x1000
stressTest_6.dasm (line 932):   [0x08AA] 6975 0010       IFA [X], PICK 0x10
stressTest_6.dasm (line 933):   [0x08AC] 6995 1000       IFA [Y], PICK 0x1000
stressTest_6.dasm (line 934):   [0x08AE] 6995 0010       IFA [Y], PICK 0x10
stressTest_6.dasm (line 935):   [0x08B0] 69B5 1000       IFA [Z], PICK 0x1000
stressTest_6.dasm (line 936):   [0x08B2] 69B5 0010       IFA [Z], PICK 0x10
stressTest_6.dasm (line 937):   [0x08B4] 69D5 1000       IFA [I], PICK 0x1000
stressTest_6.dasm (line 938):   [0x08B6] 69D5 0010       IFA [I], PICK 0x10
stressTest_6.dasm (line 939):   [0x08B8] 69F5 1000       IFA [J], PICK 0x1000
stressTest_6.dasm (line 940):   [0x08BA] 69F5 0010       IFA [J], PICK 0x10
stressTest_6.dasm (line 941):   [0x08BC] 6A15 1000 1000  IFA [0x1000+A], PICK 0x1000
stressTest_6.dasm (line 942):   [0x08BF] 6A15 0010 0010  IFA [0x10+A], PICK 0x10
stressTest_6.dasm (line 943):   [0x08C2] 6A35 1000 1000  IFA [0x1000+B], PICK 0x1000
stressTest_6.dasm (line 944):   [0x08C5] 6A35 0010 0010  IFA [0x10+B], PICK 0x10
stressTest_6.dasm (line 945):   [0x08C8] 6A55 1000 1000  IFA [0x1000+C], PICK 0x1000
stressTest_6.dasm (line 946):   [0x08CB] 6A55 0010 0010  IFA [0x10+C], PICK 0x10
stressTest_6.dasm (line 947):   [0x08CE] 6A75 1000 1000  IFA [0x1000+X], PICK 0x1000
stressTest_6.dasm (line 948):   [0x08D1] 6A75 0010 0010  IFA [0x10+X], PICK 0x10
stressTest_6.dasm (line 949):   [0x08D4] 6A95 1000 1000  IFA [0x1000+Y], PICK 0x1000
stressTest_6.dasm (line 950):   [0x08D7] 6A95 0010 0010  IFA [0x10+Y], PICK 0x10
stressTest_6.dasm (line 951):   [0x08DA] 6AB5 1000 1000  IFA [0x1000+Z], PICK 0x1000
stressTest_6.dasm (line 952):   [0x08DD] 6AB5 0010 0010  IFA [0x10+Z], PICK 0x10
stressTest_6.dasm (line 953):   [0x08E0] 6AD5 1000 1000  IFA [0x1000+I], PICK 0x1000
stressTest_6.dasm (line 954):   [0x08E3] 6AD5 0010 0010  IFA [0x10+I], PICK 0x10
stressTest_6.dasm (line 955):   [0x08E6] 6AF5 1000 1000  IFA [0x1000+J], PICK 0x1000
stressTest_6.dasm (line 956):   [0x08E9] 6AF5 0010 0010  IFA [0x10+J], PICK 0x10
stressTest_6.dasm (line 957):   [0x08EC] 6A15 1000 1000  IFA [A+0x1000], PICK 0x1000
stressTest_6.dasm (line 958):   [0x08EF] 6A15 0010 0010  IFA [A+0x10], PICK 0x10
stressTest_6.dasm (line 959):   [0x08F2] 6A35 1000 1000  IFA [B+0x1000], PICK 0x1000
stressTest_6.dasm (line 960):   [0x08F5] 6A35 0010 0010  IFA [B+0x10], PICK 0x10
stressTest_6.dasm (line 961):   [0x08F8] 6A55 1000 1000  IFA [C+0x1000], PICK 0x1000
stressTest_6.dasm (line 962):   [0x08FB] 6A55 0010 0010  IFA [C+0x10], PICK 0x10
stressTest_6.dasm (line 963):   [0x08FE] 6A75 1000 1000  IFA [X+0x1000], PICK 0x1000
stressTest_6.dasm (line 964):   [0x0901] 6A75 0010 0010  IFA [X+0x10], PICK 0x10
stressTest_6.dasm (line 965):   [0x0904] 6A95 1000 1000  IFA [Y+0x1000], PICK 0x1000
stressTest_6.dasm (line 966):   [0x0907] 6A95 0010 0010  IFA [Y+0x10], PICK 0x10
stressTest_6.dasm (line 967):   [0x090A] 6AB5 1000 1000  IFA [Z+0x1000], PICK 0x1000
stressTest_6.dasm (line 968):   [0x090D] 6AB5 0010 0010  IFA [Z+0x10], PICK 0x10
stressTest_6.dasm (line 969):   [0x0910] 6AD5 1000 1000  IFA [I+0x1000], PICK 0x1000
stressTest_6.dasm (line 970):   [0x0913] 6AD5 0010 0010  IFA [I+0x10], PICK 0x10
stressTest_6.dasm (line 971):   [0x0916] 6AF5 1000 1000  IFA [J+0x1000], PICK 0x1000
stressTest_6.dasm (line 972):   [0x0919] 6AF5 0010 0010  IFA [J+0x10], PICK 0x10
stressTest_6.dasm (line 973):   [0x091C] 6B15 1000       IFA PUSH, PICK 0x1000
stressTest_6.dasm (line 974):   [0x091E] 6B15 0010       IFA PUSH, PICK 0x10
stressTest_6.dasm (line 975):   [0x0920] 6B35 1000       IFA [SP], PICK 0x1000
stressTest_6.dasm (line 976):   [0x0922] 6B35 0010       IFA [SP], PICK 0x10
stressTest_6.dasm (line 977):   [0x0924] WARNING: Redundant statement.
stressTest_6.dasm (line 977):   [0x0924] 6B55 1000 1000  IFA [SP+0x1000], PICK 0x1000
stressTest_6.dasm (line 978):   [0x0927] WARNING: Redundant statement.
stressTest_6.dasm (line 978):   [0x0927] 6B55 0010 0010  IFA [SP+0x10], PICK 0x10
stressTest_6.dasm (line 979):   [0x092A] WARNING: Redundant statement.
stressTest_6.dasm (line 979):   [0x092A] 6B55 1000 1000  IFA PICK 0x1000, PICK 0x1000
stressTest_6.dasm (line 980):   [0x092D] WARNING: Redundant statement.
stressTest_6.dasm (line 980):   [0x092D] 6B55 0010 0010  IFA PICK 0x10, PICK 0x10
stressTest_6.dasm (line 981):   [0x0930] 6B75 1000       IFA SP, PICK 0x1000
stressTest_6.dasm (line 982):   [0x0932] 6B75 0010       IFA SP, PICK 0x10
stressTest_6.dasm (line 983):   [0x0934] 6B95 1000       IFA PC, PICK 0x1000
stressTest_6.dasm (line 984):   [0x0936] 6B95 0010       IFA PC, PICK 0x10
stressTest_6.dasm (line 985):   [0x0938] 6BB5 1000       IFA EX, PICK 0x1000
stressTest_6.dasm (line 986):   [0x093A] 6BB5 0010       IFA EX, PICK 0x10
stressTest_6.dasm (line 987):   [0x093C] 6BD5 1000 1000  IFA [0x1000], PICK 0x1000
stressTest_6.dasm (line 988):   [0x093F] 6BD5 0010 0010  IFA [0x10], PICK 0x10
stressTest_6.dasm (line 989):   [0x0942] 6BF5 1000 1000  IFA 0x1000, PICK 0x1000
stressTest_6.dasm (line 990):   [0x0945] 6BF5 0010 0010  IFA 0x10, PICK 0x10
stressTest_6.dasm (line 991):   [0x0948] 6C15            IFA A, SP
stressTest_6.dasm (line 992):   [0x0949] 6C35            IFA B, SP
stressTest_6.dasm (line 993):   [0x094A] 6C55            IFA C, SP
stressTest_6.dasm (line 994):   [0x094B] 6C75            IFA X, SP
stressTest_6.dasm (line 995):   [0x094C] 6C95            IFA Y, SP
stressTest_6.dasm (line 996):   [0x094D] 6CB5            IFA Z, SP
stressTest_6.dasm (line 997):   [0x094E] 6CD5            IFA I, SP
stressTest_6.dasm (line 998):   [0x094F] 6CF5            IFA J, SP
stressTest_6.dasm (line 999):   [0x0950] 6D15            IFA [A], SP
stressTest_6.dasm (line 1000):  [0x0951] 6D35            IFA [B], SP
stressTest_6.dasm (line 1001):  [0x0952] 6D55            IFA [C], SP
stressTest_6.dasm (line 1002):  [0x0953] 6D75            IFA [X], SP
stressTest_6.dasm (line 1003):  [0x0954] 6D95            IFA [Y], SP
stressTest_6.dasm (line 1004):  [0x0955] 6DB5            IFA [Z], SP
stressTest_6.dasm (line 1005):  [0x0956] 6DD5            IFA [I], SP
stressTest_6.dasm (line 1006):  [0x0957] 6DF5            IFA [J], SP
stressTest_6.dasm (line 1007):  [0x0958] 6E15 1000       IFA [0x1000+A], SP
stressTest_6.dasm (line 1008):  [0x095A] 6E15 0010       IFA [0x10+A], SP
stressTest_6.dasm (line 1009):  [0x095C] 6E35 1000       IFA [0x1000+B], SP
stressTest_6.dasm (line 1010):  [0x095E] 6E35 0010       IFA [0x10+B], SP
stressTest_6.dasm (line 1011):  [0x0960] 6E55 1000       IFA [0x1000+C], SP
stressTest_6.dasm (line 1012):  [0x0962] 6E55 0010       IFA [0x10+C], SP
